epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43034,0.8433,4.51074,0.85566,0.55503,0.25,0.0361,0.02888,0.78168,3.52223,0.7719,0,0,0
2,2.94607,0.87333,3.96078,0.88232,0.5584,0.25,0.05291,0.04334,0.7685,3.20649,0.77062,1.58448e-05,1.58448e-05,1.58448e-05
3,4.40976,0.91063,3.57447,0.83666,0.54035,0.41858,0.35072,0.3116,0.77261,2.68105,0.77016,3.00393e-05,3.00393e-05,3.00393e-05
4,5.84455,1.02716,3.2163,0.81533,0.5553,0.6981,0.52915,0.46309,0.78308,2.02172,0.76747,4.25835e-05,4.25835e-05,4.25835e-05
5,7.2833,0.72342,2.07125,0.81718,0.54059,0.75,0.54406,0.45925,0.78789,1.47678,0.76739,5.34774e-05,5.34774e-05,5.34774e-05
6,8.6521,0.74019,1.32492,0.80607,0.51203,0.75,0.55344,0.46815,0.77728,1.17973,0.76771,6.27209e-05,6.27209e-05,6.27209e-05
7,10.0314,0.84642,1.27297,0.78851,0.52021,0.75,0.56857,0.48108,0.77423,1.14547,0.76526,7.03141e-05,7.03141e-05,7.03141e-05
8,11.4242,0.70932,1.62482,0.82074,0.53403,0.75,0.58042,0.48938,0.77163,1.09088,0.76612,7.62569e-05,7.62569e-05,7.62569e-05
9,12.8023,0.75296,0.96079,0.80238,0.69641,0.75,0.6667,0.55878,0.78073,0.98779,0.7711,8.05494e-05,8.05494e-05,8.05494e-05
10,14.2641,0.68395,1.1379,0.82746,0.93347,0.75,0.795,0.6608,0.80111,0.93563,0.78236,8.31916e-05,8.31916e-05,8.31916e-05
11,15.6961,0.65284,0.91827,0.83144,0.94809,0.75,0.81643,0.66009,0.82381,0.96786,0.79025,8.41835e-05,8.41835e-05,8.41835e-05
12,17.0573,0.66178,0.9077,0.81197,0.97091,0.75,0.91167,0.76195,0.79252,0.87648,0.78656,8.3525e-05,8.3525e-05,8.3525e-05
13,18.4189,0.85836,0.90377,0.80214,0.92706,0.98295,0.995,0.82682,0.74087,0.78667,0.78382,8.12162e-05,8.12162e-05,8.12162e-05
14,19.8043,0.77985,0.88489,0.77493,0.94378,0.9851,0.995,0.82756,0.7012,0.73122,0.78087,7.72571e-05,7.72571e-05,7.72571e-05
15,21.1445,0.6403,0.7824,0.75277,0.95575,0.98761,0.995,0.78806,0.68222,0.69411,0.77695,7.16477e-05,7.16477e-05,7.16477e-05
16,22.5275,0.62388,0.71436,0.80303,0.96094,0.99041,0.995,0.79608,0.6678,0.7043,0.77211,6.43879e-05,6.43879e-05,6.43879e-05
17,23.9299,0.56844,0.71013,0.78781,0.96437,0.99402,0.995,0.82506,0.68363,0.69457,0.76947,5.54778e-05,5.54778e-05,5.54778e-05
18,25.2467,0.57563,0.59502,0.81217,0.96437,0.99402,0.995,0.82506,0.68363,0.69457,0.76947,4.49173e-05,4.49173e-05,4.49173e-05
19,26.6208,0.74971,0.86413,0.81474,0.96567,0.9952,0.995,0.81583,0.70454,0.6901,0.77039,3.27065e-05,3.27065e-05,3.27065e-05
20,27.9158,0.59675,0.62241,0.80525,0.96567,0.9952,0.995,0.81583,0.70454,0.6901,0.77039,1.88454e-05,1.88454e-05,1.88454e-05
